recipe_tag	coefficient
bias	0.43373721058396203
alfredo	-0.007755781882860016
almond	-0.015127570411687958
american	0.0007962913906433974
appetizer	0.034916154197783995
appetizers	0.06816147720407097
apple	-0.028128864249797634
asiancuisine	-0.05807160033560124
asparagus	0.07046378165080391
avocado	-0.08786178998386239
bacon	0.22726039505427126
baked	0.06212012896663382
bakeddishes	0.020726153575841476
bakery	-0.029122628684161097
baking	0.043088659356019646
beans	0.03285474734221369
beef	0.023977212810237136
bellpeppers	0.026770599298062234
berries	0.016461040213389438
blackbeans	0.026770599298052405
blackvinegar	0.0017099752508157977
blueberry	-0.014036220465761208
boiledeggs	0.004809954163570719
bokchoy	0.004809954163569052
braided	0.002063118579218398
bread	0.017844565444001353
breaded	-0.0002990720587723679
breakfast	0.053635974439942016
breakfastpastry	0.036055572589134145
brioche	0.0465925719625575
broiling	0.048420274435568074
brownies	0.04669079587933734
brownsugar	0.013182541875107288
brunch	0.03339098681998691
burger	0.016481251983736997
burritos	-0.008831119059188184
buttery	0.022512672833721138
cake	0.04635386069170849
carrots	0.004809954163571992
casserole	0.0007765348652555067
celebration	0.003664285935496294
cheese	0.25781980524462567
cheesy	-0.020076460762556723
cherry	-0.010673604993872418
chicken	0.018710791272209887
chickpeas	0.016481251983738995
chilioil	0.0036040323030623283
chilipowder	0.02677059929805457
chinese	0.04127604695424035
chinesecookingwine	0.0018940570522441183
chinesecuisine	0.012405959673420727
chocolate	0.2932171645689789
chocolatechip	-0.017441280844054458
chocolatecroissant	0.03605557258913356
christmas	0.014684241890806473
cilantro	-0.02737605693352407
cinnamon	-0.03180475649806698
citrus	0.007342120945403235
classic	-0.017758316443321723
cloves	-0.006283022721345699
cobbler	-0.020394412942356215
cocoapowder	0.031239508982100143
coffee	-0.0025390218510548987
cold	0.04127604695423646
coldnoodles	-0.008291034557691892
comfortfood	0.005953023811984124
condiment	-0.05682150574231563
cookies	-0.031140797027568414
corn	0.0036642859354995166
cranberry	0.030424125153094464
creamcheese	-0.012408550068870027
creamy	-0.006083924613344269
crisp	-0.024865670346701955
crispy	0.015905016218802255
croissant	-0.002539021851053555
croissants	0.027911443132559874
crumble	-0.03703139792778727
crust	-0.006283022721344805
cucumber	-0.008291034557691562
cumin	0.02677059929805393
cupcakes	-0.029554833043962385
custard	0.03460332239338563
custardy	-0.003717335911161121
customizable	0.0030302299417178918
danish	-0.012408550068872017
dashibroth	0.01891018585113572
dates	-0.015155166644808683
decadent	0.03443800841042503
dessert	0.10432505918738881
dinner	0.01256123740622066
dip	0.02705963845836619
donuts	0.03147933398906238
easterneuropean	0.0020631185792206463
easy	0.052853085619736936
easydinner	-0.0034323128532775097
egg	0.0068866536692998095
eggs	0.0814373517911353
eggwhites	-0.016996057815411678
fajitaseasoning	-0.014545095981568308
fall	-0.01928850014128031
familyfriendly	-0.0026557779880188974
fastfood	-0.000299072058772869
fetacheese	-0.012792676886142051
filling	0.01930880325909996
fingerfood	-0.003772137536497398
flaky	0.01178567618839637
french	-0.005753905232340192
frenchcuisine	0.1018036203872244
frenchpastry	0.004393922053914612
fresh	-0.015496632501858301
fried	0.008047240336728465
friedfood	0.03389914224579281
friedrice	0.016278573317379842
fries	0.037893081324912134
frosting	0.016799027647746805
fruit	-0.04456603861860878
fudgy	0.03237488983120218
gamedayfood	0.015799370074104577
